Type,SKU,Name,Parent,Regular Price,,Published,Stock,,Description,Weight,Length,Width,,,Images,Attribute 1 Name,Attribute 1 Value(s),Attribute 1 Visible,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value(s),Attribute 2 Visible,Attribute 2 Global,Attribute 3 Name,Attribute 3 Value(s),Attribute 3 Visible,Attribute 3 Global,Attribute 4 Name,Attribute 4 Value(s),Attribute 4 Visible,Attribute 4 Global,Attribute 5 Name,Attribute 5 Value(s),Attribute 5 Visible,Attribute 5 Global,Attribute 6 Name,Attribute 6 Value(s),Attribute 6 Visible,Attribute 6 Global
variation,B01554-TRQ.Y,Enamel Chain Bracelet - Turquoise,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/dd66144ce770e2644ec7b0c2181bb7eda4018f3980e471d124e6cf3604310212.jpg,,,,,Color,Turquoise,1,1,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01554-WH.Y,Enamel Chain Bracelet - White,id:23440,2 650.00,,1,1,,"Glam up your wardrobe with this dazzling, gold and enamel bracelet. The perfect piece to add a touch of sparkle without going overboard, it features an eye-catching chain with gold finish and a rectangular chain adorned with delicate enamel",17.78,0.4,0.1,,,https://luvente.com/cdn/shop/files/1254e4b89f8775af89f214a75b89d0bed45767d8fc6f05c8568609819a4bc596.jpg,,,,,Color,White,1,1,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01581-RD.W,Cross Bracelet - ,id:23454,425.00,,1,1,,This elegant cross bracelet is the perfect piece for layering. The classic pairing of a gold cross and rosary beads makes it the perfect gift for any fashionista in your life.,17.78,1,0.1,,,https://luvente.com/cdn/shop/files/e9dae723468542bf52b5ae923ee065d1c2c37e0e92cb5ddd956a173e1d37448c_99d0f94b-8137-4cd0-bc8d-7dac41610d03.jpg,,,,,,,,,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01581-RD.Y,Cross Bracelet - ,id:23454,425.00,,1,1,,This elegant cross bracelet is the perfect piece for layering. The classic pairing of a gold cross and rosary beads makes it the perfect gift for any fashionista in your life.,17.78,1,0.1,,,https://luvente.com/cdn/shop/files/a8e89c582d21bb8217c2368c90a18961a3c456c6a70f6fbb0bb210d1b91cd4f5.jpg,,,,,,,,,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01591-RD.W,Butterfly Bracelet - ,id:23460,885.00,,1,1,,"This bracelet is a beautiful symbol of freedom and rebirth. With its delicate chain and simple butterfly clasp, this piece will become your daily go to jewel",17.78,45689,0.1,,,https://luvente.com/cdn/shop/files/43554225b7823af6286f4541d7d854ab545719be591e44faa04a1e796d7daae5_91a90504-fe3d-4ccd-bb05-fdbbf38253fe.jpg,,,,,,,,,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01591-RD.Y,Butterfly Bracelet - ,id:23460,885.00,,1,1,,"This bracelet is a beautiful symbol of freedom and rebirth. With its delicate chain and simple butterfly clasp, this piece will become your daily go to jewel",17.78,45689,0.1,,,https://luvente.com/cdn/shop/files/439011bc2ea803c8ee57e7d02471cf76d5aeaac27074eac6d1beca924ab2bf4b.jpg,,,,,,,,,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01836-RD.Y,Diamond Tennis Link Bracelet - ,id:23466,2 875.00,,1,1,,"Picture yourself slipping on our Diamond Tennis Link Bracelet, feeling the gentle weight of its exquisite design against your wrist. Each diamond is like a small, sparkling story waiting to be told, catching the light with every gesture. Whether it's a special occasion or an everyday indulgence, this bracelet becomes a part of you, a reflection of your personal style and the elegance you bring to every moment.",16.51,0.3,0.2,,,https://luvente.com/cdn/shop/files/644a0b24b0806b9b473b6f8449b3b6058f9999382cac13751261d45285676836_93fcb897-0b18-43b4-9f5b-16b71ccb4294.jpg,,,,,,,,,,,,,Metal,14KY,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B01852-MCSA.R,Multi Color Candy Bracelet - ,id:23471,5 985.00,,1,1,,"Feel the whimsical charm of our Multi-Color Candy Bracelet as you fasten it around your wrist, the colorful gemstones coming to life against your skin. Whether you choose to wear it solo for a burst of playfulness or mix it with your favorite pieces, it becomes an integral part of your personal style, reflecting your unique sense of fun and creativity.",17.78,0.3,0.25,,,https://luvente.com/cdn/shop/files/bf412efc825f78484cbb93546c705aa2689ef4d97a4eb45afd8446f0e30a4c8b.jpg,,,,,,,,,,,,,Metal,14KR,1,1,Stone,MCSA,1,1,Stone Category,Precious,1,1
variation,B01852-MCSA.Y,Multi Color Candy Bracelet - ,id:23471,5 985.00,,1,1,,"Feel the whimsical charm of our Multi-Color Candy Bracelet as you fasten it around your wrist, the colorful gemstones coming to life against your skin. Whether you choose to wear it solo for a burst of playfulness or mix it with your favorite pieces, it becomes an integral part of your personal style, reflecting your unique sense of fun and creativity.",17.78,0.3,0.25,,,https://luvente.com/cdn/shop/files/e48cd931f800372bf9c37cd5b74ff613b07033a96a2a2608986cea4a38ddf162_b2f3b071-7b9c-47d0-80fa-7cd5f097c530.jpg,,,,,,,,,,,,,Metal,14KY,1,1,Stone,MCSA,1,1,Stone Category,Precious,1,1
variation,B03679-RD.R,Mesh Bracelet - ,id:23476,7 590.00,,1,1,,This dazzling mesh bracelet adds a touch of high-octane glamour to any outfit. The sun-kissed gold mesh give it an eclectic feel that’s sure to turn heads wherever you go.,17.78,45778,0.2,,,https://luvente.com/cdn/shop/files/820844b87cbcae0e6eca4b2b030931476c7f294df275b7c0b8fd51a17ab39d27_bf001b5f-934f-4489-a0cd-d67b6de3a537.jpg,,,,,,,,,,,,,Metal,14KR,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
variation,B03679-RD.W,Mesh Bracelet - ,id:23476,7 590.00,,1,1,,This dazzling mesh bracelet adds a touch of high-octane glamour to any outfit. The sun-kissed gold mesh give it an eclectic feel that’s sure to turn heads wherever you go.,17.78,45778,0.2,,,https://luvente.com/cdn/shop/files/d40e2b826d519abbd407b4fe9b774eb83209545deb89e3fda2d15d387251125b.jpg,,,,,,,,,,,,,Metal,14KW,1,1,Stone,RD,1,1,Stone Category,Diamond,1,1
